Time(ms),Interval,Qx,Qy,Qz,Qw,Mx,My,Mz,Ax,Ay,Az,Rx,Ry,Rz,H1,P1,R1,H2,P2,R2,CalStable,MagTransient
0000980500,0,-0.6987,-0.3470,-0.5921,0.2018,1958,564,-182,1835,283,-331,-263,-79,115,76.7572,-75.3643,149.3103,1,0
0000980521,0,-0.7016,-0.3424,-0.5922,0.1994,1962,550,-177,1831,275,-311,-284,-63,135,75.2929,-75.3708,150.1523,1,0
0000980542,0,-0.7056,-0.3351,-0.5928,0.1957,1965,533,-169,1815,327,-327,-322,-57,146,73.2469,-75.4339,151.2222,1,0
0000980563,0,-0.7096,-0.3273,-0.5940,0.1913,1965,533,-169,1811,347,-363,-337,-57,154,71.3259,-75.5008,152.0612,1,0
0000980584,0,-0.7128,-0.3208,-0.5946,0.1882,1971,518,-163,1787,339,-391,-333,-59,162,69.5485,-75.5655,153.0025,1,0
0000980605,0,-0.7166,-0.3128,-0.5956,0.1842,1975,499,-155,1783,315,-379,-327,-37,165,67.4843,-75.6599,154.0012,1,0
0000980626,0,-0.7191,-0.3060,-0.5968,0.1816,1979,479,-142,1815,303,-363,-334,-2,162,65.8240,-75.8296,154.8453,1,0
0000980647,0,-0.7219,-0.2971,-0.5991,0.1782,1983,462,-126,1891,247,-375,-337,17,160,63.8501,-76.1137,155.7257,1,0
0000980668,0,-0.7243,-0.2883,-0.6015,0.1745,1987,443,-109,1895,171,-427,-341,37,168,62.0851,-76.4029,156.4044,1,0
0000980689,0,-0.7259,-0.2807,-0.6038,0.1723,1991,420,-88,1811,3,-459,-355,47,187,60.3769,-76.7407,157.2486,1,0
0000980710,0,-0.7281,-0.2704,-0.6068,0.1689,1994,394,-64,1771,-31,-359,-385,77,214,58.1565,-77.1561,158.2779,1,0
0000980731,0,-0.7293,-0.2603,-0.6104,0.1667,1994,394,-64,1755,59,-319,-449,141,241,55.9188,-77.7185,159.4355,1,0
0000980752,0,-0.7299,-0.2460,-0.6164,0.1634,1999,361,-30,1799,75,-311,-451,175,241,52.9576,-78.6056,160.8750,1,0
0000980773,0,-0.7304,-0.2333,-0.6218,0.1598,1999,329,2,1947,55,-319,-443,181,233,50.2815,-79.3632,162.1400,1,0
0000980794,0,-0.7302,-0.2227,-0.6264,0.1578,2002,299,37,2107,67,-283,-421,165,223,47.6871,-80.0735,163.6476,1,0
0000980815,0,-0.7306,-0.2115,-0.6305,0.1546,2000,270,62,2323,-87,-267,-366,123,202,44.6623,-80.6600,165.4399,1,0
0000980836,0,-0.7311,-0.2040,-0.6326,0.1538,2001,245,75,2303,-307,-227,-249,25,180,41.7250,-81.0305,167.6748,1,0
0000980857,0,-0.7334,-0.1960,-0.6328,0.1527,2001,223,78,2127,-387,-259,-272,-39,168,37.6046,-81.1143,171.0322,1,0
0000980878,0,-0.7365,-0.1883,-0.6324,0.1492,2002,204,74,1971,-235,-291,-295,-80,143,34.4469,-80.9811,173.2539,1,0
0000980899,0,-0.7394,-0.1837,-0.6307,0.1472,2002,204,74,1931,-183,-279,-243,-117,109,32.1254,-80.6997,175.0302,1,0
0000980920,0,-0.7429,-0.1790,-0.6287,0.1440,2003,190,66,1911,-147,-307,-181,-144,74,30.3230,-80.3130,176.1791,1,0
0000980941,0,-0.7460,-0.1784,-0.6254,0.1433,2002,180,46,1891,-155,-311,-87,-193,30,29.4645,-79.8062,176.9394,1,0
0000980962,0,-0.7501,-0.1797,-0.6204,0.1421,2003,182,25,1831,-155,-375,-63,-201,-18,29.3867,-79.0463,177.0451,1,0
0000980983,0,-0.7533,-0.1810,-0.6166,0.1400,2001,187,1,1815,-219,-363,6,-207,-61,29.9248,-78.4207,176.4510,1,0
0000981004,0,-0.7557,-0.1859,-0.6121,0.1400,2001,199,-22,1803,-279,-395,41,-212,-85,31.1212,-77.7576,175.6869,1,0
0000981025,0,-0.7584,-0.1897,-0.6078,0.1389,1996,211,-48,1783,-315,-407,86,-209,-93,32.1619,-77.0950,174.8854,1,0
0000981046,0,-0.7604,-0.1959,-0.6032,0.1400,1994,226,-71,1783,-299,-495,107,-195,-99,33.4256,-76.4455,174.2523,1,0
0000981067,0,-0.7625,-0.2036,-0.5977,0.1414,1994,226,-71,1739,-287,-519,126,-176,-98,34.9038,-75.6929,173.5604,1,0
0000981088,0,-0.7640,-0.2082,-0.5941,0.1418,1990,237,-93,1799,-247,-495,144,-147,-89,35.8045,-75.1771,173.1051,1,0
0000981109,0,-0.7645,-0.2146,-0.5904,0.1446,1984,249,-112,1867,-239,-511,161,-120,-69,36.7409,-74.7507,172.9498,1,0
0000981130,0,-0.7652,-0.2187,-0.5876,0.1464,1982,258,-126,1883,-151,-615,158,-95,-52,37.2467,-74.4119,172.9532,1,0
0000981151,0,-0.7651,-0.2240,-0.5849,0.1494,1977,263,-140,1927,-7,-627,128,-60,-61,37.9486,-74.1449,172.9729,1,0
0000981172,0,-0.7642,-0.2300,-0.5831,0.1520,1975,275,-144,1871,67,-587,102,-15,-86,39.1270,-73.9640,172.5323,1,0
0000981193,0,-0.7630,-0.2333,-0.5833,0.1522,1966,288,-142,1667,131,-603,76,41,-109,40.2649,-73.9785,171.6949,1,0
0000981214,0,-0.7602,-0.2383,-0.5845,0.1538,1962,303,-130,1603,143,-519,78,95,-127,41.9617,-74.1489,170.5497,1,0
0000981235,0,-0.7571,-0.2417,-0.5872,0.1537,1962,303,-130,1591,171,-507,61,143,-147,43.7633,-74.4467,169.0217,1,0
0000981256,0,-0.7525,-0.2468,-0.5906,0.1550,1954,322,-112,1679,219,-563,70,201,-168,46.2195,-74.8726,167.0905,1,0
0000981277,0,-0.7459,-0.2535,-0.5957,0.1566,1945,342,-91,1739,243,-583,86,219,-184,49.8143,-75.4799,164.1759,1,0
0000981298,0,-0.7407,-0.2576,-0.6003,0.1568,1938,362,-67,1895,387,-535,80,223,-185,52.8364,-75.9660,161.5068,1,0
