Frame Index,0x,0y,0z,0w,1x,1y,1z,1w,2x,2y,2z,2w,3x,3y,3z,3w,4x,4y,4z,4w,5x,5y,5z,5w,6x,6y,6z,6w,7x,7y,7z,7w,8x,8y,8z,8w,9x,9y,9z,9w,
60,0,0,0,0,0.2016602,-1.436523,-2.087158,0,-0.3084717,0.1181641,1.803589,0,0.4498291,0.1879883,1.85791,0,-0.3197021,2.983154,2.608032,0,-0.5374756,-2.926514,1.551514,0,-0.3197021,1.628662,0.296875,0,-0.1290283,1.5354,0.4172363,0,-0.2471924,1.701294,3.007202,0,-0.03442383,1.764893,-0.1396484,0,
61,0,0,0,0,0.2008057,-1.437866,-2.088745,0,-0.30896,0.1190186,1.804443,0,0.447876,0.1890869,1.85144,0,-0.3206787,2.981934,2.608887,0,-0.5374756,-2.926514,1.551514,0,-0.3195801,1.62854,0.2969971,0,-0.12854,1.535645,0.4169922,0,-0.2474365,1.701172,3.007324,0,-0.03417969,1.765259,-0.1394043,0,
62,0,0,0,0,0.2010498,-1.438477,-2.089111,0,-0.3103027,0.1195068,1.803833,0,0.4477539,0.1890869,1.845215,0,-0.3215332,2.981323,2.609619,0,-0.5389404,-2.927246,1.553589,0,-0.3192139,1.628296,0.2969971,0,-0.1279297,1.535767,0.4171143,0,-0.2476807,1.70105,3.00769,0,-0.03369141,1.764893,-0.1386719,0,
63,0,0,0,0,0.2015381,-1.438599,-2.089355,0,-0.3093262,0.1206055,1.805786,0,0.4477539,0.1890869,1.845215,0,-0.3222656,2.980469,2.610107,0,-0.5389404,-2.927246,1.553589,0,-0.3192139,1.628296,0.2969971,0,-0.1275635,1.535645,0.4173584,0,-0.2475586,1.700562,3.008667,0,-0.03369141,1.764893,-0.1386719,0,
64,0,0,0,0,0.2019043,-1.438599,-2.089355,0,-0.3093262,0.1206055,1.805786,0,0.4477539,0.1890869,1.845215,0,-0.3216553,2.979858,2.613159,0,-0.5388184,-2.928223,1.554321,0,-0.3187256,1.628296,0.2976074,0,-0.1270752,1.535522,0.4179688,0,-0.2473145,1.699951,3.010742,0,-0.03356934,1.764648,-0.1363525,0,
65,0,0,0,0,0.2011719,-1.439087,-2.089844,0,-0.310791,0.1210938,1.807129,0,0.4472656,0.1914063,1.840332,0,-0.3217773,2.978394,2.613647,0,-0.5388184,-2.928223,1.554321,0,-0.3183594,1.628174,0.2976074,0,-0.1260986,1.536011,0.4217529,0,-0.2473145,1.699341,3.01355,0,-0.03381348,1.764771,-0.1303711,0,
66,0,0,0,0,0.2011719,-1.439087,-2.089844,0,-0.3109131,0.1204834,1.806396,0,0.4465332,0.1920166,1.828369,0,-0.3212891,2.977661,2.616089,0,-0.5388184,-2.929199,1.556152,0,-0.3179932,1.628174,0.2976074,0,-0.1260986,1.536011,0.4217529,0,-0.2470703,1.699829,3.017822,0,-0.03393555,1.765015,-0.1276855,0,
67,0,0,0,0,0.2011719,-1.439087,-2.089844,0,-0.310791,0.1201172,1.807739,0,0.4458008,0.1923828,1.828491,0,-0.3212891,2.977661,2.616089,0,-0.5388184,-2.930176,1.556763,0,-0.3175049,1.627686,0.2978516,0,-0.1262207,1.536255,0.4229736,0,-0.2470703,1.699463,3.019531,0,-0.03405762,1.765015,-0.1257324,0,
68,0,0,0,0,0.2008057,-1.438843,-2.089722,0,-0.310791,0.1201172,1.807739,0,0.4458008,0.1923828,1.828491,0,-0.3221436,2.977661,2.618164,0,-0.5388184,-2.930176,1.556763,0,-0.3165283,1.627441,0.2996826,0,-0.1265869,1.536865,0.4244385,0,-0.2473145,1.699341,3.020996,0,-0.03405762,1.765503,-0.1242676,0,
69,0,0,0,0,0.2005615,-1.438843,-2.0896,0,-0.3105469,0.1193848,1.80481,0,0.4458008,0.1923828,1.828491,0,-0.3248291,2.97937,2.624634,0,-0.5388184,-2.930176,1.556763,0,-0.3164063,1.627686,0.3006592,0,-0.1270752,1.536865,0.4262695,0,-0.2475586,1.699219,3.023438,0,-0.03381348,1.765503,-0.1220703,0,
70,0,0,0,0,0.2005615,-1.438721,-2.0896,0,-0.3105469,0.1193848,1.80481,0,0.4464111,0.1937256,1.823364,0,-0.3248291,2.97937,2.624634,0,-0.5388184,-2.930176,1.556763,0,-0.3164063,1.627686,0.3006592,0,-0.1270752,1.536865,0.4262695,0,-0.2474365,1.699219,3.025146,0,-0.03405762,1.765381,-0.1202393,0,
71,0,0,0,0,0.2004395,-1.438477,-2.089844,0,-0.3123779,0.1171875,1.803833,0,0.4464111,0.1937256,1.823364,0,-0.3248291,2.980591,2.622925,0,-0.5384521,-2.932495,1.55896,0,-0.3165283,1.627686,0.3016357,0,-0.1271973,1.536987,0.4278564,0,-0.2474365,1.699219,3.025146,0,-0.03405762,1.765381,-0.1202393,0,
72,0,0,0,0,0.2004395,-1.438721,-2.090698,0,-0.3123779,0.1171875,1.803833,0,0.4464111,0.1937256,1.823364,0,-0.3286133,2.984863,2.622314,0,-0.5373535,-2.93335,1.563599,0,-0.3162842,1.627563,0.3029785,0,-0.1273193,1.537598,0.4289551,0,-0.2475586,1.699341,3.026978,0,-0.03405762,1.765381,-0.1202393,0,
73,0,0,0,0,0.2005615,-1.439209,-2.091431,0,-0.3110352,0.1160889,1.802734,0,0.4450684,0.1938477,1.82312,0,-0.3277588,2.985962,2.621704,0,-0.5412598,-2.933716,1.572632,0,-0.3162842,1.627563,0.3029785,0,-0.1274414,1.537964,0.4290771,0,-0.2478027,1.699951,3.028809,0,-0.03393555,1.765869,-0.1177979,0,
74,0,0,0,0,0.2006836,-1.439819,-2.092041,0,-0.3067627,0.1136475,1.804688,0,0.4431152,0.1949463,1.814209,0,-0.3260498,2.98645,2.62207,0,-0.5427246,-2.933594,1.573364,0,-0.3161621,1.62793,0.3028564,0,-0.1274414,1.537964,0.4290771,0,-0.2478027,1.700195,3.029053,0,-0.03381348,1.766479,-0.116333,0,
75,0,0,0,0,0.2006836,-1.439819,-2.092041,0,-0.3066406,0.1126709,1.806396,0,0.4423828,0.194458,1.801147,0,-0.3260498,2.98645,2.62207,0,-0.5427246,-2.933594,1.573364,0,-0.31604,1.628052,0.3028564,0,-0.1274414,1.53772,0.4295654,0,-0.2479248,1.699585,3.029175,0,-0.03356934,1.766846,-0.1156006,0,
76,0,0,0,0,0.2006836,-1.439819,-2.092041,0,-0.3076172,0.1118164,1.80896,0,0.4423828,0.194458,1.801147,0,-0.3256836,2.987793,2.620483,0,-0.5418701,-2.932983,1.576416,0,-0.3157959,1.627686,0.303833,0,-0.1278076,1.537598,0.4316406,0,-0.2476807,1.698975,3.030273,0,-0.03344727,1.76709,-0.1156006,0,
77,0,0,0,0,0.199707,-1.439697,-2.092407,0,-0.3087158,0.1105957,1.810791,0,0.442627,0.1942139,1.799927,0,-0.3254395,2.988281,2.619507,0,-0.5418701,-2.932983,1.576416,0,-0.3157959,1.627686,0.3041992,0,-0.1275635,1.537231,0.4326172,0,-0.2479248,1.69873,3.031738,0,-0.03369141,1.766724,-0.1154785,0,
78,0,0,0,0,0.1992188,-1.439575,-2.092896,0,-0.3087158,0.1105957,1.810791,0,0.4417725,0.1895752,1.792114,0,-0.3249512,2.988159,2.618286,0,-0.5418701,-2.932983,1.576416,0,-0.3156738,1.626953,0.3044434,0,-0.1275635,1.53772,0.4333496,0,-0.2476807,1.699219,3.032715,0,-0.03381348,1.766479,-0.1121826,0,
79,0,0,0,0,0.1988525,-1.439453,-2.093628,0,-0.3074951,0.1103516,1.810913,0,0.4417725,0.1895752,1.792114,0,-0.3249512,2.987305,2.61853,0,-0.5423584,-2.932129,1.576294,0,-0.3148193,1.627441,0.3037109,0,-0.1275635,1.537964,0.4335938,0,-0.2474365,1.699585,3.032593,0,-0.03356934,1.766724,-0.1113281,0,
80,0,0,0,0,0.1983643,-1.438843,-2.094116,0,-0.3067627,0.1103516,1.807861,0,0.4433594,0.1888428,1.791748,0,-0.3249512,2.985718,2.622681,0,-0.5423584,-2.932129,1.576294,0,-0.314209,1.627441,0.3033447,0,-0.1275635,1.53833,0.4344482,0,-0.2475586,1.699707,3.032471,0,-0.03356934,1.766724,-0.1113281,0,
81,0,0,0,0,0.197998,-1.438721,-2.094604,0,-0.307251,0.1102295,1.809814,0,0.4434814,0.1846924,1.785767,0,-0.3240967,2.984741,2.621704,0,-0.5463867,-2.926025,1.569214,0,-0.3137207,1.626709,0.3043213,0,-0.1278076,1.538574,0.4345703,0,-0.2473145,1.699829,3.031982,0,-0.03344727,1.766968,-0.1114502,0,
82,0,0,0,0,0.197998,-1.438721,-2.094604,0,-0.3062744,0.1103516,1.807495,0,0.4429932,0.1845703,1.785034,0,-0.3236084,2.983887,2.620605,0,-0.5450439,-2.924194,1.572021,0,-0.3132324,1.627075,0.3035889,0,-0.1280518,1.538208,0.4345703,0,-0.2463379,1.699829,3.031616,0,-0.0333252,1.76709,-0.1114502,0,
83,0,0,0,0,0.197998,-1.438721,-2.094604,0,-0.3054199,0.1101074,1.809204,0,0.4428711,0.1846924,1.779541,0,-0.3234863,2.982422,2.619873,0,-0.5450439,-2.924194,1.572021,0,-0.3132324,1.627075,0.3035889,0,-0.1282959,1.538574,0.4344482,0,-0.2457275,1.700073,3.031128,0,-0.0324707,1.766846,-0.1119385,0,
84,0,0,0,0,0.1976318,-1.438721,-2.095215,0,-0.3054199,0.1101074,1.809204,0,0.4428711,0.1846924,1.779541,0,-0.3231201,2.981445,2.619385,0,-0.5450439,-2.924194,1.572021,0,-0.3126221,1.626953,0.3017578,0,-0.1280518,1.538452,0.4335938,0,-0.244751,1.700317,3.029907,0,-0.03173828,1.767212,-0.1123047,0,
85,0,0,0,0,0.1954346,-1.437744,-2.095825,0,-0.3054199,0.1101074,1.809204,0,0.4436035,0.1846924,1.773438,0,-0.322998,2.980835,2.619263,0,-0.5440674,-2.920288,1.569336,0,-0.3123779,1.626831,0.3007813,0,-0.1278076,1.538452,0.4327393,0,-0.2440186,1.700806,3.028564,0,-0.03076172,1.767212,-0.1142578,0,
86,0,0,0,0,0.194458,-1.437378,-2.096802,0,-0.3043213,0.1097412,1.810791,0,0.444458,0.1846924,1.768677,0,-0.3221436,2.980713,2.618652,0,-0.5450439,-2.917969,1.56665,0,-0.3125,1.627075,0.2994385,0,-0.1278076,1.539185,0.4278564,0,-0.2435303,1.70105,3.02356,0,-0.03015137,1.766846,-0.1177979,0,
87,0,0,0,0,0.1936035,-1.436768,-2.09729,0,-0.3039551,0.1096191,1.812134,0,0.444458,0.1846924,1.768188,0,-0.3187256,2.978882,2.619751,0,-0.5423584,-2.918335,1.568604,0,-0.3123779,1.627319,0.2979736,0,-0.1273193,1.538574,0.4267578,0,-0.2432861,1.700806,3.022339,0,-0.03015137,1.766846,-0.1177979,0,
88,0,0,0,0,0.1929932,-1.436035,-2.097168,0,-0.3031006,0.1086426,1.806763,0,0.4467773,0.1837158,1.767212,0,-0.3189697,2.97876,2.619385,0,-0.5423584,-2.918335,1.568604,0,-0.3121338,1.627197,0.2949219,0,-0.1271973,1.538696,0.4263916,0,-0.2431641,1.700928,3.020996,0,-0.03027344,1.766968,-0.1195068,0,
89,0,0,0,0,0.1929932,-1.436035,-2.097168,0,-0.3031006,0.1086426,1.806763,0,0.4504395,0.1846924,1.767212,0,-0.3190918,2.978638,2.619263,0,-0.5423584,-2.918335,1.568604,0,-0.3121338,1.627686,0.2935791,0,-0.1273193,1.539307,0.4249268,0,-0.2437744,1.703247,3.016113,0,-0.03027344,1.766968,-0.1195068,0,
90,0,0,0,0,0.1929932,-1.436035,-2.097168,0,-0.3017578,0.1085205,1.807861,0,0.4505615,0.1845703,1.766357,0,-0.3190918,2.978638,2.619263,0,-0.5421143,-2.921509,1.569702,0,-0.3126221,1.62793,0.2930908,0,-0.1246338,1.538818,0.4187012,0,-0.2429199,1.704224,3.012085,0,-0.03051758,1.766113,-0.1258545,0,
91,0,0,0,0,0.1925049,-1.435303,-2.097534,0,-0.3006592,0.1088867,1.803711,0,0.4505615,0.1845703,1.766357,0,-0.3192139,2.978149,2.618774,0,-0.5410156,-2.922974,1.572266,0,-0.3120117,1.628174,0.293335,0,-0.1236572,1.538574,0.4177246,0,-0.2416992,1.704834,3.007813,0,-0.03039551,1.766602,-0.1278076,0,
92,0,0,0,0,0.1923828,-1.434814,-2.09729,0,-0.3001709,0.1082764,1.798218,0,0.4505615,0.1845703,1.766357,0,-0.3192139,2.978149,2.618774,0,-0.5402832,-2.926147,1.575073,0,-0.3120117,1.628174,0.293335,0,-0.123291,1.538086,0.4165039,0,-0.2409668,1.704834,3.004639,0,-0.02966309,1.767456,-0.1311035,0,
93,0,0,0,0,0.1922607,-1.434204,-2.097046,0,-0.300415,0.107666,1.799561,0,0.4490967,0.1834717,1.764404,0,-0.3193359,2.977295,2.619629,0,-0.5373535,-2.928223,1.572876,0,-0.3115234,1.628296,0.2926025,0,-0.1240234,1.537842,0.4140625,0,-0.2404785,1.703735,3.002808,0,-0.02905273,1.768311,-0.1358643,0,
94,0,0,0,0,0.1914063,-1.434326,-2.097168,0,-0.3007813,0.1072998,1.795898,0,0.4499512,0.1829834,1.763672,0,-0.3193359,2.976807,2.619507,0,-0.5375977,-2.92749,1.57251,0,-0.3115234,1.628296,0.2911377,0,-0.1246338,1.537842,0.4121094,0,-0.2399902,1.703247,3.003174,0,-0.02880859,1.767944,-0.1409912,0,
95,0,0,0,0,0.1915283,-1.43457,-2.097168,0,-0.3010254,0.1065674,1.797485,0,0.4505615,0.1826172,1.762451,0,-0.3188477,2.976196,2.620239,0,-0.538208,-2.927246,1.568115,0,-0.3122559,1.628296,0.286377,0,-0.1246338,1.537598,0.4107666,0,-0.2399902,1.703369,3.003174,0,-0.02941895,1.76709,-0.1473389,0,
96,0,0,0,0,0.1916504,-1.434204,-2.09729,0,-0.3027344,0.1053467,1.793335,0,0.4505615,0.1826172,1.762451,0,-0.3188477,2.976196,2.620239,0,-0.5368652,-2.929443,1.571411,0,-0.3122559,1.628296,0.286377,0,-0.1247559,1.53772,0.4101563,0,-0.2402344,1.703857,3.002808,0,-0.02990723,1.766602,-0.1488037,0,
97,0,0,0,0,0.1920166,-1.433716,-2.097656,0,-0.3033447,0.1054688,1.794556,0,0.4505615,0.1826172,1.762451,0,-0.3188477,2.976196,2.620239,0,-0.538208,-2.930298,1.574219,0,-0.3123779,1.628174,0.284668,0,-0.1247559,1.53772,0.4101563,0,-0.2407227,1.702881,3.000977,0,-0.03051758,1.765991,-0.1494141,0,
98,0,0,0,0,0.1920166,-1.433716,-2.097656,0,-0.3037109,0.1052246,1.795776,0,0.4464111,0.1818848,1.761841,0,-0.3192139,2.976196,2.620239,0,-0.5385742,-2.930542,1.574463,0,-0.3121338,1.628052,0.2838135,0,-0.1247559,1.53772,0.4101563,0,-0.2410889,1.702148,3.000854,0,-0.03051758,1.765991,-0.1494141,0,
99,0,0,0,0,0.1936035,-1.43335,-2.099487,0,-0.3041992,0.1055908,1.797974,0,0.4464111,0.1818848,1.761841,0,-0.3209229,2.975708,2.620117,0,-0.5406494,-2.93103,1.574707,0,-0.3121338,1.628052,0.2838135,0,-0.1254883,1.537109,0.4101563,0,-0.2416992,1.700806,3.001587,0,-0.03210449,1.765015,-0.1520996,0,
100,0,0,0,0,0.1947021,-1.43335,-2.100464,0,-0.3059082,0.1052246,1.795166,0,0.4449463,0.182373,1.753418,0,-0.3209229,2.975708,2.620117,0,-0.5406494,-2.93103,1.574707,0,-0.3118896,1.627563,0.2836914,0,-0.1258545,1.537476,0.4106445,0,-0.2415771,1.69873,3.004272,0,-0.0324707,1.764282,-0.15271,0,
