Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E
16962,0,1962.033,4.453686,11.00239,6.678642,35.27716,21.42621,-26.15635,24.98262,-10.27177,14.25399,10.27177,7.656707,103.5567,68.32188,30.8219,132.4025,5.666591,13.62185
16963,0,1962.058,3.952551,10.91885,6.193687,35.11705,22.4022,-25.90002,24.70602,-10.01437,14.18387,10.01437,7.842025,103.3509,68.08313,29.55388,131.7376,5.900831,13.17708
16964,0,1962.083,3.505316,10.80992,5.771868,34.97208,23.09164,-25.62286,24.53792,-9.755482,14.12491,9.755482,8.029302,103.1143,67.84912,28.66742,131.18,6.119075,12.80169
16965,0,1962.108,3.035768,10.65558,5.260714,34.73269,23.69891,-25.3656,24.18162,-9.523447,14.13625,9.523447,8.16034,102.8522,67.53458,27.82059,130.5195,6.283036,12.46234
16966,0,1962.131,2.652104,10.51702,4.847999,34.65966,24.04812,-25.19663,22.78522,-9.275762,14.11372,9.275762,8.29169,102.5532,67.24723,26.26263,129.8238,6.419793,12.16817
16967,0,1962.151,2.400859,10.41541,4.651221,34.7093,24.24691,-25.10887,21.78849,-9.146173,14.08086,9.146173,8.372478,102.1869,66.97469,25.17656,129.6307,6.598557,11.8926
16968,0,1962.183,2.167808,10.32571,4.456236,34.76629,24.42383,-25.0263,20.91003,-9.113028,14.08776,9.113028,8.324448,101.9032,66.73557,24.17059,129.145,6.781019,11.6023
16969,0,1962.208,1.94672,10.24004,4.258598,34.90303,24.55406,-24.79654,20.30773,-9.108605,14.13807,9.108605,8.283232,101.7024,66.56419,23.4809,128.0293,6.971251,11.39103
16970,0,1962.231,1.649245,10.14007,3.960915,34.92382,24.66321,-24.5199,19.94633,-9.118481,14.20312,9.118481,8.249335,101.5723,66.41705,22.99239,126.36,7.146193,11.23023
16971,0,1962.258,1.380552,10.04778,3.721049,34.96262,24.74354,-24.27987,19.72748,-9.123694,14.26122,9.123694,8.283018,101.4962,66.29308,22.65614,124.3073,7.376424,11.11018
16972,0,1962.283,1.134014,9.958682,3.533411,35.03424,24.77462,-24.1342,19.19496,-9.134069,14.30061,9.134069,8.263795,101.4576,66.16631,21.4747,122.6418,7.641543,10.97598
16973,0,1962.308,0.9063343,9.880036,3.387262,35.14268,24.78782,-24.05573,18.86236,-9.150726,14.31544,9.150726,8.260063,101.4474,66.07751,20.60412,121.429,7.923501,10.86314
16974,0,1962.331,0.5885065,9.811995,3.210406,35.31634,24.81376,-24.01177,18.7565,-9.18346,14.32508,9.18346,8.271513,101.4864,66.00279,19.99051,120.3042,8.210233,10.77417
16975,0,1962.358,0.2748253,9.783416,-3.078035,35.48385,24.85825,-23.97387,18.77538,-9.193704,14.34978,9.193704,8.380706,101.6211,65.94842,19.55512,119.3917,8.612173,10.71313
16976,0,1962.383,-0.02797646,9.782533,-3.000549,35.61759,24.90735,-23.95555,18.88523,-9.171254,14.39293,9.171254,8.497614,101.7698,65.91662,19.24959,118.6659,9.108908,10.65632
16977,0,1962.408,-0.309643,9.807625,-2.992251,35.58479,24.67832,-23.90446,18.92969,-9.130024,14.38758,9.130024,8.582542,101.9472,65.94864,18.86263,118.2053,9.666357,10.51066
16978,0,1962.431,-0.6641131,9.924381,-3.106523,35.51427,24.36802,-23.53693,19.17451,-9.081967,14.41217,9.081967,8.679282,102.1635,66.06348,18.46113,116.8946,10.28895,10.37312
16979,0,1962.451,-0.9865541,10.07314,-3.253475,35.39245,24.17882,-23.02915,19.47706,-8.971239,14.57445,8.971239,8.852571,102.5055,66.4104,18.17634,114.6484,11.14951,10.23603
16980,0,1962.483,-1.272109,10.25943,-3.438605,35.42784,24.07898,-22.53884,19.81895,-8.839091,14.73213,8.839091,9.034137,102.8492,66.78335,17.99503,111.2651,12.14799,10.08498
16981,0,1962.508,-1.536078,10.56651,-3.833081,35.5385,24.07491,-21.89024,20.28725,-8.705156,14.92006,8.705156,9.221875,103.232,67.22703,17.86871,109.0201,13.14318,9.935729
16982,0,1962.531,-1.740126,10.86923,-4.229757,35.6059,24.0805,-21.26806,20.73068,-8.491742,15.19702,8.491742,9.494382,103.6486,67.73907,17.79765,105.8383,14.13218,9.785788
16983,0,1962.558,-1.887823,11.23258,-4.862685,35.60347,24.07423,-20.52529,21.24973,-8.389675,15.47092,8.389675,9.758585,104.2262,68.27589,17.78705,103.0919,15.25997,9.585706
16984,0,1962.583,-2.003302,11.54255,-5.43574,35.51311,24.02292,-19.82081,21.72352,-8.212695,15.77031,8.212695,9.996801,104.8112,68.96848,17.80455,100.5187,16.28059,9.368274
16985,0,1962.608,-2.113685,11.82863,-6.20902,35.42182,23.81349,-18.98811,22.31317,-8.072511,15.95432,8.072511,10.14629,105.4196,69.5959,17.78628,99.16762,17.37556,9.085515
16986,0,1962.631,-2.220261,12.04608,-6.845129,35.00419,23.58059,-18.47398,22.82362,-7.832733,15.99022,7.832733,10.31498,105.9753,70.17136,17.77324,97.25171,18.47421,8.722919
16987,0,1962.658,-2.333723,12.20347,-7.371422,34.64097,23.32339,-18.16495,23.27789,-7.68135,15.90457,7.68135,10.42104,106.505,70.76514,17.84786,96.08189,19.71643,8.291572
16988,0,1962.683,-2.453437,12.30961,-7.804994,34.339,23.03356,-18.04812,23.68965,-7.808136,15.63698,7.808136,10.44802,107.3551,71.61769,17.89985,94.52471,21.36433,7.615174
16989,0,1962.708,-2.55198,12.3597,-8.433774,34.13796,22.59783,-17.90586,24.13049,-7.919833,15.33785,7.919833,10.48824,108.1913,72.42229,17.93615,93.84035,23.33206,6.944893
16990,0,1962.737,-2.639082,12.36804,-8.911186,33.95238,22.14688,-17.90224,24.49343,-8.62728,14.97412,8.62728,10.6115,109.7466,73.15978,18.06798,93.71995,25.99542,6.299678
16991,0,1962.762,-2.719734,12.34429,-9.249962,33.64313,21.60615,-18.35175,24.88952,-9.326895,14.68109,9.326895,10.76574,111.1684,73.83119,18.26586,95.14684,28.56154,5.681272
16992,0,1962.787,-2.790568,12.29682,-9.467637,33.38437,20.81792,-18.82143,25.29993,-10.00899,14.57609,10.00899,11.04122,112.4053,74.54612,18.75509,96.70315,30.99889,5.410228
16993,0,1962.811,-2.822165,12.24382,-9.769258,33.2527,19.57965,-19.1821,25.74055,-10.36527,14.4764,10.36527,11.30347,113.2728,75.11361,19.50636,97.99867,33.62679,5.279491
16994,0,1962.833,-2.863001,12.1956,-9.911037,33.11097,18.6175,-19.57199,26.04998,-10.73697,14.34053,10.73697,11.55877,114.0444,75.5759,20.03452,99.1948,35.97214,5.253185
16995,0,1962.858,-2.907374,12.1377,-9.947341,32.77337,17.21352,-20.08374,25.74301,-11.31022,14.23843,11.31022,11.8029,114.7565,75.97079,20.69169,101.1034,38.08573,5.420325
16996,0,1962.883,-2.925363,12.04996,-10.11676,32.30974,16.03064,-20.46105,25.53385,-12.46318,14.1765,12.46318,12.05275,115.7498,76.45894,21.48292,102.2084,39.82464,5.69736
16997,0,1962.908,-2.969727,11.96003,-10.15943,31.92189,15.09566,-20.69826,25.39614,-13.44111,14.00426,13.44111,12.2668,116.7846,76.90368,22.23909,103.4219,41.20711,5.95697
16998,0,1962.931,-3.034672,11.86777,-10.12337,31.55673,14.33165,-20.84446,25.30732,-14.38434,13.8014,14.38434,12.45802,117.9332,77.34105,23.28518,104.0762,42.01261,6.190489
16999,0,1962.958,-3.115144,11.77134,-10.02729,31.29729,13.67081,-20.86193,25.25782,-15.6177,13.56865,15.6177,12.63762,119.6965,77.79632,24.41049,104.1527,42.03798,6.413987
17000,0,1962.983,-3.209857,11.69123,-9.882862,31.12805,13.07634,-20.80085,25.25366,-16.61983,13.27559,16.61983,12.87748,121.4434,78.41735,25.41475,103.5644,41.64502,6.575634
17001,0,1963.008,-3.326667,11.63941,-9.657485,31.02252,12.79697,-20.69027,25.55999,-17.37838,13.00364,17.37838,13.16036,123.2007,79.00929,25.48372,103.5072,40.22519,6.729281
17002,0,1963.031,-3.435586,11.64601,-9.599109,30.91563,12.50604,-20.5167,25.86859,-17.85596,12.76355,17.85596,13.49832,124.9807,79.59547,25.52715,103.0945,38.49355,6.897395
17003,0,1963.051,-3.572264,11.66234,-9.40895,30.85655,12.21589,-20.31824,26.11355,-17.971,12.53471,17.971,13.91739,126.7772,80.18184,25.67356,101.5487,36.48585,7.11618
17004,0,1963.083,-3.717785,11.71808,-9.301659,30.91792,12.03763,-20.00476,26.41595,-17.74402,12.36914,17.74402,14.53308,128.9779,80.95583,25.43739,99.68964,33.36122,7.490407
17005,0,1963.108,-3.879139,11.76011,-9.027697,30.93599,11.84648,-19.76265,26.64376,-17.25408,12.264,17.25408,15.23031,130.8694,81.6981,25.23368,98.76355,30.36625,7.966861
17006,0,1963.131,-4.032646,11.78863,-8.641407,30.9445,11.67231,-19.61406,26.80196,-16.67988,12.29453,16.67988,15.98167,132.4457,82.44061,24.66409,96.03436,27.72595,8.626666
17007,0,1963.158,-4.1593,11.84177,-8.214584,30.96879,11.55749,-19.54097,26.90533,-15.81627,12.52319,15.81627,16.81646,133.6759,83.18874,23.67776,93.60726,25.81439,9.539823
17008,0,1963.183,-4.209381,11.97571,-7.803988,31.07328,11.55519,-19.55099,26.93599,-14.81208,13.03228,14.81208,17.76559,134.6403,83.95898,22.87738,91.37698,24.07548,11.05085
17009,0,1963.208,-4.145482,12.20429,-7.426291,31.26748,11.66189,-19.69375,26.86555,-13.75709,14.60816,13.75709,19.43026,135.5875,85.12659,22.35656,90.09096,22.5208,13.99431
17010,0,1963.231,-3.674824,12.69114,-7.305758,31.7327,11.97706,-20.13104,26.48117,-13.07276,16.65063,13.07276,21.27207,136.3283,86.29308,22.01044,87.88373,21.62905,17.60958
17011,0,1963.258,-3.155481,13.1263,-7.215804,32.19825,12.24756,-20.53469,26.03334,-12.74165,19.02271,12.74165,22.91096,137.3297,87.27421,21.6398,85.77486,21.14586,21.44819
17012,0,1963.283,-2.429144,13.48184,-7.420159,32.76563,12.34081,-20.90706,25.40962,-12.38766,20.93488,12.38766,23.92724,138.3457,87.89631,21.13845,83.7405,21.24268,24.99161
17013,0,1963.308,-1.768572,13.7223,-7.537156,33.24994,12.36467,-21.29986,24.80522,-12.0529,22.35349,12.0529,24.48075,139.1875,88.32965,20.8042,80.86455,21.32664,27.88184
17014,0,1963.337,-1.131596,13.87284,-7.559799,33.654,12.55738,-21.37218,24.13485,-11.37411,23.54321,11.37411,24.90403,139.9339,88.98392,20.1472,76.70574,20.76273,30.40028
17015,0,1963.362,-0.4909863,13.96008,-7.510604,33.98898,12.64481,-21.38792,23.44437,-10.91237,24.55433,10.91237,25.1986,140.565,89.99426,19.67565,71.97943,20.11169,32.99892
17016,0,1963.387,0.14537,13.9984,-7.402606,34.23529,12.64292,-21.31909,22.74105,-10.64396,25.34048,10.64396,24.96924,141.0314,91.34798,19.31333,66.60433,19.34521,34.89962
17017,0,1963.411,0.9661109,13.94704,-7.373604,34.44613,12.49748,-21.28544,21.85072,-10.65326,25.87802,10.65326,24.35185,141.3515,92.56546,18.9867,60.89805,18.74591,36.19395
17018,0,1963.437,1.673744,13.88016,-7.238308,34.56468,12.36619,-21.11652,21.04172,-10.78286,26.13188,10.78286,23.26229,141.5696,93.69675,18.7293,54.9777,17.67889,36.95372
17019,0,1963.462,2.28944,13.81339,7.014114,34.63253,12.43817,-20.60675,20.20206,-11.05701,26.23028,11.05701,22.0207,141.7417,94.73233,18.56301,47.31218,16.77173,37.2091
17020,0,1963.487,2.838625,13.77136,6.715832,34.7557,12.4594,-20.1479,19.4548,-11.45728,26.09917,11.45728,20.27773,141.8623,95.86558,18.34275,40.12106,15.97631,36.49811
17021,0,1963.511,3.515523,13.72618,6.475386,34.96506,12.42932,-19.89698,18.61901,-11.8883,25.85109,11.8883,18.58986,141.9463,96.80688,18.13849,33.68873,15.37706,35.4417
17022,0,1963.537,4.105273,13.68209,6.213218,35.43087,12.83722,-19.363,17.55001,-12.5771,25.47201,12.5771,16.75613,142.0214,97.50771,17.60074,25.84967,14.98228,34.131
17023,0,1963.563,4.631681,13.64564,5.981108,35.73474,13.13203,-19.12487,16.67502,-13.24455,25.04932,13.24455,14.93848,142.0719,97.93839,17.19005,20.57287,14.76425,32.3744
17024,0,1963.587,5.191389,13.55427,5.840095,36.01977,13.29322,-18.99967,15.86236,-13.89686,24.4202,13.89686,12.96598,142.0738,97.96712,16.87964,16.1674,14.80939,30.38869
17025,0,1963.611,5.626502,13.46689,5.709765,36.30045,13.41003,-18.81748,15.23972,-14.55689,23.79075,14.55689,11.21847,142.0752,97.82813,16.64483,12.36569,14.92922,28.81051
17026,0,1963.637,5.924304,13.38655,5.587775,36.58282,14.552,-18.5211,14.13001,-15.38775,23.35891,15.38775,9.851694,141.8792,97.69407,15.05601,8.935493,15.88174,27.67948
17027,0,1963.662,6.084215,13.3364,5.467983,37.01358,15.35966,-17.72595,13.38208,-16.1384,22.70228,16.1384,9.422915,141.6837,97.74787,13.95263,4.79963,17.13624,26.86124
17028,0,1963.687,6.080637,13.36614,5.223372,37.37141,16.28422,-16.86089,12.64185,-16.81127,22.42157,16.81127,9.194751,141.5432,97.70068,12.81438,1.564731,18.8938,26.25781
17029,0,1963.711,6.037639,13.41318,4.94522,37.69285,16.97354,-15.82975,12.12441,-17.23978,22.27512,17.23978,8.791938,141.4431,97.29808,12.0267,1.141239,20.39768,25.47296
17030,0,1963.737,5.979436,13.45734,4.682994,37.95298,17.35646,-15.06313,11.54961,-18.67511,22.00115,18.67511,8.21315,141.1647,96.87126,11.84398,2.83407,23.46304,24.68591
17031,0,1963.762,5.902193,13.47921,4.469053,38.21486,16.68979,-14.6561,11.69383,-20.36232,21.51348,20.36232,7.575021,140.6524,96.55978,14.14186,3.459155,26.87429,23.77984
17032,0,1963.787,5.786756,13.47832,4.30507,38.40125,16.12396,-14.44816,11.93659,-22.27208,21.07658,22.27208,7.04804,140.1387,96.19551,15.93858,3.547513,30.8962,22.85005
17033,0,1963.811,5.498112,13.46617,4.066064,38.49645,15.65654,-14.24434,12.38903,-23.63213,20.67905,23.63213,6.570115,139.7495,95.75749,17.42432,3.387089,34.10042,21.91467
17034,0,1963.837,5.185007,13.43844,3.822133,38.52865,14.87352,-14.04929,12.7879,-25.51806,20.37669,25.51806,6.217256,139.4228,95.49946,19.48463,3.018826,38.26373,20.99762
17035,0,1963.862,4.842135,13.37851,3.542211,38.49321,14.40653,-13.8358,12.89482,-27.14979,20.15346,27.14979,5.890458,139.2202,95.49172,20.93592,2.714042,41.99702,20.1718
17036,0,1963.887,4.334134,13.23447,3.06548,38.3889,14.04148,-13.56263,13.16716,-28.64013,19.79886,28.64013,5.667837,139.0073,95.58623,21.95508,2.2665,45.8085,19.3561
17037,0,1963.914,3.845576,13.0554,2.62346,38.20472,13.76985,-13.32138,13.45144,-29.93891,19.26866,29.93891,5.652393,138.6959,95.46629,22.71333,1.952442,49.13247,18.55497
17038,0,1963.937,3.386627,12.84979,2.227477,38.14427,13.54451,-13.23171,13.74568,-31.34328,18.60277,31.34328,5.663651,138.1126,95.10533,23.28482,1.189925,52.38601,17.77473
