Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
44,0,797,-0.06255726,1.594832,-0.2176059,63.61499,-142.6657,-89.16295,92.11139,0.4579955,1.843874,0.4579955,0.01978234,1.130875,1.631775,0.02797646,1.126396,0.2900664,0.05595291,
45,0,797.025,-0.06255726,1.596917,-0.1724585,64.16059,-141.189,-89.16516,92.07796,0.4489339,1.850655,0.4489339,0,1.139908,1.679398,0.02797646,0.8791551,0.3019647,0.05233916,
46,0,797.052,-0.06255726,1.598264,-0.1398823,64.03972,-139.9388,-89.16081,92.04599,0.4370072,1.85741,0.4370072,0,1.169327,1.721115,0.03426402,0.6946434,0.309643,0.04845664,
47,0,797.1,-0.05595291,1.607665,-0.1153499,64.39183,-137.6643,-89.16714,92.00463,0.414487,1.88128,0.414487,-0.01978234,1.227692,1.741928,0.01978234,0.5678623,0.3220336,0.05233916,
48,0,797.125,-0.04845664,1.622568,-0.1083524,64.78038,-136.2417,-89.16254,91.97768,0.4029978,1.908238,0.4029978,0,1.268539,1.750214,0.02797646,0.4833549,0.3345502,0.05595291,
49,0,797.15,-0.04845664,1.639366,-0.1219466,64.8628,-135.5016,-89.15311,91.96515,0.4049353,1.939872,0.4049353,0,1.299225,1.73082,0.03426402,0.4201138,0.3286494,0.06852804,
50,0,797.175,-0.05595291,1.655285,-0.1440177,65.55109,-134.8356,-89.15407,91.96618,0.4338616,1.972388,0.4338616,-0.01978234,1.293427,1.70047,0.02797646,0.3800071,0.3454843,0.08156469,
51,0,797.2,-0.05934703,1.670584,-0.1607126,65.95787,-134.4448,-89.15466,91.96687,0.4545648,2.011978,0.4545648,-0.01978234,1.266281,1.658249,0.02797646,0.3527702,0.3674413,0.09487279,
52,0,797.225,-0.05934703,1.700193,-0.1813082,66.33803,-134.3702,-89.14626,91.96506,0.4639383,2.069046,0.4639383,-0.03426402,1.232605,1.611908,0.03426402,0.3397734,0.3901695,0.1046783,
53,0,797.25,-0.0656106,1.727144,-0.2065338,66.69695,-134.9676,-89.14089,91.97916,0.4756011,2.117293,0.4756011,-0.04423466,1.179657,1.566864,0.03956468,0.3304307,0.4159008,0.1101434,
54,0,797.275,-0.07401875,1.754462,-0.2264194,67.22787,-135.7535,-89.13863,91.99764,0.4921804,2.159486,0.4921804,-0.05233916,1.140488,1.535355,0.03426402,0.3357179,0.4356619,0.1153499,
55,0,797.3,-0.08392937,1.783996,-0.2382111,66.77324,-136.4643,-89.12673,92.01466,0.5101407,2.199358,0.5101407,-0.05233916,1.102585,1.513275,0.03956468,0.3380413,0.453703,0.1136409,
56,0,797.325,-0.08846933,1.802548,-0.2390311,66.81429,-136.8857,-89.12329,92.0265,0.5200178,2.225104,0.5200178,-0.05595291,1.071854,1.497833,0.03426402,0.3432113,0.4685547,0.1083524,
57,0,797.35,-0.08846933,1.811429,-0.2332305,67.58495,-137.2835,-89.1347,92.03308,0.5248867,2.236947,0.5248867,-0.06255726,1.050339,1.489105,0.03956468,0.3516591,0.4857778,0.09891172,
58,0,797.375,-0.08392937,1.819729,-0.2112177,68.52907,-137.2861,-89.15181,92.03302,0.5226451,2.247334,0.5226451,-0.07401875,1.045776,1.483002,0.03426402,0.3577275,0.5055169,0.09278741,
59,0,797.4,-0.07401875,1.829811,-0.1735894,69.55897,-136.885,-89.15778,92.02593,0.5188877,2.26088,0.5188877,-0.08156469,1.044678,1.478729,0.03956468,0.3658403,0.5282311,0.08846933,
60,0,797.425,-0.06255726,1.849491,-0.1557664,70.61339,-136.8234,-89.1658,92.02715,0.513962,2.278901,0.513962,-0.09487279,1.043915,1.475739,0.03426402,0.3810355,0.5414024,0.07661668,
61,0,797.45,-0.02797646,1.877948,-0.1119058,71.83081,-135.4682,-89.18192,91.98202,0.4897892,2.301973,0.4897892,-0.1235407,1.041275,1.471558,0.03426402,0.3936644,0.5446455,0.05934703,
62,0,797.475,0,1.893722,0.07401875,72.65251,-133.896,-89.19499,91.9289,0.4677188,2.309782,0.4677188,-0.1506579,1.039429,1.462326,0.03426402,0.3995845,0.5432066,0.03426402,
63,0,797.5,0.02797646,1.896304,0.04423466,73.11947,-132.358,-89.18836,91.87473,0.4493696,2.309189,0.4493696,-0.165511,1.038132,1.439087,0.03426402,0.4083038,0.5352231,0,
64,0,797.525,0.04845664,1.891861,0,73.41738,-130.4093,-89.18321,91.82493,0.4370072,2.306644,0.4370072,-0.1643245,1.026749,1.387146,0.03956468,0.4135417,0.5297108,0,
65,0,797.561,0.07132626,1.901251,0,73.80112,-128.3743,-89.18107,91.75559,0.4215088,2.317564,0.4215088,-0.1619255,1.018768,1.302521,0.03956468,0.4140146,0.5154827,0,
66,0,797.584,0.08622923,1.907828,0.02797646,74.1171,-126.3719,-89.18929,91.69346,0.4111691,2.329526,0.4111691,-0.166689,1.013184,1.169846,0.03426402,0.4191812,0.5116726,0,
67,0,797.607,0.09691329,1.912439,0.06255726,74.53203,-125.1014,-89.20179,91.65022,0.4125943,2.337829,0.4125943,-0.165511,1.005081,1.047592,0.03426402,0.4224361,0.5192646,0,
68,0,797.631,0.1008706,1.921932,0.09487279,74.69937,-123.9587,-89.20636,91.62302,0.4215088,2.345769,0.4215088,-0.1557664,0.967926,0.9368591,0.03426402,0.4256662,0.5475121,0.01978234,
69,0,797.656,0.1046783,1.932696,0.1312212,74.72754,-122.4748,-89.2205,91.62968,0.4242849,2.351353,0.4242849,-0.1480375,0.9251404,0.8173676,0.03426402,0.4284154,0.5781073,0,
70,0,797.679,0.1046783,1.940276,0.1735894,74.6795,-121.5912,-89.22813,91.63658,0.4284154,2.357338,0.4284154,-0.1398823,0.8951874,0.7043457,0.03426402,0.4320539,0.5993783,0,
71,0,797.703,0.1027921,1.947625,0.2255535,75.21334,-121.6397,-89.26679,91.66734,0.4352126,2.36364,0.4352126,-0.1312212,0.8574371,0.6252289,0.03426402,0.4242849,0.614212,0,
72,0,797.727,0.1065312,1.952643,0.2947506,75.76939,-122.5927,-89.29853,91.75778,0.4396856,2.365875,0.4396856,-0.1282043,0.8079376,0.5383759,0.03956468,0.4196478,0.6305605,0,
73,0,797.75,0.1170339,1.954045,0.3732531,76.6736,-123.339,-89.34788,91.83157,0.4338616,2.361403,0.4338616,-0.1467098,0.7732697,0.446106,0.04845664,0.4224361,0.6437659,0,
74,0,797.775,0.1370561,1.952643,0.454995,78.57137,-123.639,-89.43616,91.88071,0.4135417,2.356259,0.4135417,-0.174713,0.7511139,0.3773193,0.04845664,0.450674,0.6555129,0,
75,0,797.802,0.1519511,1.95164,0.5263757,80.35042,-123.806,-89.51591,91.91498,0.3976209,2.350437,0.3976209,-0.1845175,0.735611,0.3270721,0.05233916,0.4801054,0.6655847,0,
