Frame Index,0x,0y,0z,0w,1x,1y,1z,1w,2x,2y,2z,2w,3x,3y,3z,3w,4x,4y,4z,4w,5x,5y,5z,5w,6x,6y,6z,6w,7x,7y,7z,7w,8x,8y,8z,8w,9x,9y,9z,9w,
43,0,0,0,0,0.2209473,-1.434204,-0.6446533,0,-0.2910156,0.1108398,1.78125,0,0.5251465,0.2233887,1.966187,0,-0.3299561,2.985718,2.688721,0,-0.5311279,-2.916748,1.652222,0,-0.3188477,1.669312,0.5869141,0,-0.1751709,1.558472,-0.9688721,0,-0.2619629,1.713257,2.803589,0,0.1916504,1.769165,-0.3883057,0,
44,0,0,0,0,0.2196045,-1.435669,-0.6461182,0,-0.2888184,0.1107178,1.782715,0,0.5250244,0.2242432,1.957397,0,-0.3299561,2.985718,2.688721,0,-0.5314941,-2.91687,1.651855,0,-0.3184814,1.668213,0.5883789,0,-0.1751709,1.558472,-0.9688721,0,-0.2618408,1.713501,2.802368,0,0.1917725,1.769165,-0.3869629,0,
45,0,0,0,0,0.2186279,-1.436646,-0.6464844,0,-0.2888184,0.1107178,1.782715,0,0.5247803,0.2270508,1.945557,0,-0.3297119,2.98584,2.689331,0,-0.5275879,-2.918701,1.651978,0,-0.3179932,1.667847,0.5891113,0,-0.1768799,1.559692,-0.9689941,0,-0.2618408,1.713501,2.802368,0,0.1917725,1.768921,-0.3852539,0,
46,0,0,0,0,0.2180176,-1.437378,-0.6468506,0,-0.2901611,0.1112061,1.780518,0,0.5247803,0.2270508,1.945557,0,-0.3297119,2.98584,2.689331,0,-0.5269775,-2.920288,1.651611,0,-0.317749,1.668457,0.5872803,0,-0.1768799,1.559692,-0.9689941,0,-0.2617188,1.713745,2.799438,0,0.1916504,1.77002,-0.3826904,0,
47,0,0,0,0,0.2174072,-1.438232,-0.6473389,0,-0.2901611,0.1112061,1.780518,0,0.5247803,0.2270508,1.945557,0,-0.3278809,2.985596,2.68811,0,-0.5281982,-2.920044,1.648071,0,-0.317749,1.668457,0.5872803,0,-0.177002,1.560059,-0.9703369,0,-0.2617188,1.714966,2.795044,0,0.1916504,1.77002,-0.3826904,0,
48,0,0,0,0,0.215332,-1.439331,-0.6472168,0,-0.2895508,0.1123047,1.781616,0,0.522583,0.229126,1.927368,0,-0.3278809,2.985596,2.68811,0,-0.5303955,-2.92041,1.648315,0,-0.3184814,1.668701,0.5861816,0,-0.1767578,1.560181,-0.9714355,0,-0.2614746,1.716064,2.79248,0,0.1916504,1.77002,-0.3826904,0,
49,0,0,0,0,0.2139893,-1.439575,-0.6466064,0,-0.2921143,0.1131592,1.779907,0,0.5196533,0.2322998,1.911743,0,-0.3306885,2.983643,2.69043,0,-0.5303955,-2.92041,1.648315,0,-0.3190918,1.669434,0.5849609,0,-0.1765137,1.560547,-0.9730225,0,-0.2611084,1.717651,2.789063,0,0.1921387,1.769653,-0.3834229,0,
50,0,0,0,0,0.2131348,-1.439941,-0.6463623,0,-0.2919922,0.1140137,1.781982,0,0.5195313,0.2347412,1.911499,0,-0.3328857,2.983765,2.688477,0,-0.5316162,-2.920898,1.647705,0,-0.319458,1.671753,0.5806885,0,-0.1765137,1.560547,-0.9730225,0,-0.2602539,1.718872,2.782104,0,0.1922607,1.769653,-0.3843994,0,
51,0,0,0,0,0.2119141,-1.439453,-0.6461182,0,-0.2921143,0.1151123,1.782104,0,0.5195313,0.2347412,1.911499,0,-0.3331299,2.984131,2.686035,0,-0.5319824,-2.920654,1.647217,0,-0.3195801,1.672241,0.579834,0,-0.1756592,1.561035,-0.9770508,0,-0.2601318,1.718506,2.780151,0,0.1922607,1.769287,-0.385498,0,
52,0,0,0,0,0.2119141,-1.439453,-0.6461182,0,-0.291626,0.1164551,1.78418,0,0.5220947,0.2429199,1.888916,0,-0.3338623,2.984375,2.684326,0,-0.5319824,-2.920654,1.647217,0,-0.3195801,1.672241,0.579834,0,-0.175293,1.560913,-0.9786377,0,-0.2602539,1.717773,2.779175,0,0.1922607,1.769165,-0.3879395,0,
53,0,0,0,0,0.2106934,-1.4375,-0.6436768,0,-0.2900391,0.1187744,1.78772,0,0.5220947,0.2429199,1.888916,0,-0.3339844,2.984741,2.684937,0,-0.5338135,-2.919312,1.63855,0,-0.319458,1.672241,0.5795898,0,-0.1750488,1.560425,-0.979126,0,-0.260498,1.716675,2.779541,0,0.1922607,1.769165,-0.3925781,0,
54,0,0,0,0,0.2108154,-1.436768,-0.6425781,0,-0.2883301,0.1201172,1.786499,0,0.5220947,0.244873,1.881592,0,-0.3337402,2.986694,2.681396,0,-0.5333252,-2.918823,1.637207,0,-0.3190918,1.671631,0.5797119,0,-0.1750488,1.560425,-0.979126,0,-0.2613525,1.715698,2.780762,0,0.1922607,1.768921,-0.3968506,0,
55,0,0,0,0,0.2108154,-1.436768,-0.6425781,0,-0.2886963,0.121582,1.789185,0,0.5198975,0.2469482,1.869019,0,-0.3337402,2.986694,2.681396,0,-0.5333252,-2.918823,1.637207,0,-0.3193359,1.671387,0.5778809,0,-0.1750488,1.559814,-0.979126,0,-0.262085,1.71521,2.781372,0,0.1922607,1.768921,-0.3968506,0,
56,0,0,0,0,0.2115479,-1.436523,-0.6413574,0,-0.289917,0.1239014,1.791016,0,0.5198975,0.2469482,1.869019,0,-0.3331299,2.988037,2.678589,0,-0.5323486,-2.916504,1.632935,0,-0.3193359,1.671143,0.576416,0,-0.1759033,1.55957,-0.9804688,0,-0.2625732,1.715088,2.78125,0,0.1915283,1.766113,-0.40625,0,
